N,bio1,bio12,Elevation,SM,ST,RR,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio13,bio14,bio15,bio16,bio17,bio18,bio19
45,22,1546,157,32.87773496,294.6269938,0.0291,79,34,556.7,32.5,9.3,23.2,28.2,15.7,28.2,14.1,270,37,69,783,122,783,148
90,10.1,617,1300,21.54056622,283.8064604,0.1046,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
90,10.1,617,1300,21.54056622,283.8064604,-0.076,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
60,7.2,838,225,21.16443743,281.1511012,-0.0418,100,23,1156.1,26.7,-15.9,42.6,21.3,-8.6,21.3,-8.6,225,10,100,521,32,521,32
75,3.6,564,169,25.16186478,278.7412821,-0.0336,123,22,1467.5,28.1,-25.5,53.6,21.3,-16.6,21.3,-16.6,167,4,104,375,14,375,14
56,8.7,901,286,26.45428612,282.0433669,0.0146,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
56,8.7,901,286,26.45428612,282.0433669,-0.0055,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
56,8.7,901,286,26.45428612,282.0433669,0.0144,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
56,8.7,901,286,26.45428612,282.0433669,0.0217,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
62.1,17.7,1458,41,37.9319547,290.4965297,-0.035,83,25,834.8,34.1,1.7,32.4,21.6,8.9,28.1,6.6,248,45,51,647,169,457,210
90,4.1,534,150,23.75091952,278.9974874,-0.0165,121,22,1447.2,28.3,-24.5,52.8,21.6,-15.8,21.6,-15.8,162,3,108,361,11,361,11
40,13.6,446,710,27.61130678,287.9851626,0.0643,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
40,13.6,446,710,27.61130678,287.9851626,0.0372,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
35,12.6,548,47,15.77523204,286.2374776,-0.0459,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
